ISO Week,src,src_humans
2004-02,29,29
2004-03,23,23
2004-04,24,24
2004-05,41,41
2004-06,28,28
2004-07,36,36
2004-08,14,14
2004-09,17,17
2004-10,39,39
2004-11,29,29
2004-12,18,18
2004-13,23,23
2004-14,42,42
2004-15,38,38
2004-16,30,30
2004-17,53,53
2004-18,46,46
2004-19,27,27
2004-20,44,44
2004-21,47,47
2004-22,61,61
2004-23,43,43
2004-24,39,39
2004-25,62,62
2004-26,23,23
2004-27,7,7
2004-28,28,28
2004-29,41,41
2004-30,42,42
2004-31,36,36
2004-32,33,33
2004-33,44,44
2004-34,55,55
2004-35,60,60
2004-36,59,59
2004-37,40,40
2004-38,65,65
2004-39,79,79
2004-40,63,63
2004-41,49,49
2004-42,43,43
2004-43,33,33
2004-44,29,29
2004-45,31,31
2004-46,47,47
2004-47,50,50
2004-48,17,17
2004-49,43,43
2004-50,66,66
2004-51,60,60
2004-52,24,24
2004-53,0,0
2005-01,44,44
2005-02,37,37
2005-03,51,51
2005-04,45,45
2005-05,47,47
2005-06,48,48
2005-07,53,53
2005-08,68,68
2005-09,82,82
2005-10,61,61
2005-11,67,67
2005-12,26,26
2005-13,7,7
2005-14,4,4
2005-15,18,18
2005-16,17,17
2005-17,28,28
2005-18,36,36
2005-19,33,33
2005-20,13,13
2005-21,28,28
2005-22,27,27
2005-23,80,80
2005-24,52,52
2005-25,49,49
2005-26,69,69
2005-27,55,55
2005-28,53,53
2005-29,59,59
2005-30,71,71
2005-31,60,60
2005-32,59,59
2005-33,67,67
2005-34,61,61
2005-35,75,75
2005-36,48,48
2005-37,26,26
2005-38,54,54
2005-39,40,40
2005-40,84,84
2005-41,49,49
2005-42,38,38
2005-43,86,86
2005-44,54,54
2005-45,38,38
2005-46,37,37
2005-47,39,39
2005-48,95,95
2005-49,72,72
2005-50,99,99
2005-51,92,92
2005-52,80,80
2006-01,79,79
2006-02,179,179
2006-03,120,120
2006-04,165,165
2006-05,118,118
2006-06,165,165
2006-07,111,111
2006-08,90,90
2006-09,152,152
2006-10,108,108
2006-11,120,120
2006-12,92,92
2006-13,131,131
2006-14,105,105
2006-15,73,73
2006-16,129,129
